7939461 SESSION_BEGIN 17
7939526 BEGIN 90
7940998 DOWN 0.5750 -0.3531
7941040 MOVE 0.5803 -0.3650
7941050 MOVE 0.5813 -0.3688
7941050 DOWN 0.5813 -0.3688
7941989 DOWN 0.6406 0.6250
7942024 MOVE 0.6406 0.6352
7942028 DOWN 0.6406 0.6352
7942957 DOWN -0.2969 0.7969
7943008 MOVE -0.3004 0.7934
7943009 DOWN -0.3004 0.7934
7944025 DOWN -0.2594 -0.4031
7944053 DOWN -0.2594 -0.4031
7945897 DOWN 0.6906 -0.5063
7945948 DOWN 0.6906 -0.5063
7947483 DOWN 0.7219 0.6687
7947525 MOVE 0.7219 0.6741
7947541 MOVE 0.7294 0.6977
7947545 DOWN 0.7294 0.6977
7948507 DOWN -0.3063 0.6406
7948568 DOWN -0.3063 0.6406
7949673 DOWN -0.2031 -0.3594
7949747 DOWN -0.2031 -0.3594
7950333 DOWN 0.6844 -0.4844
7950392 MOVE 0.7003 -0.4835
7950394 DOWN 0.7003 -0.4835
7951409 DOWN 0.8344 0.5594
7951451 MOVE 0.8313 0.5500
7951452 DOWN 0.8313 0.5500
7952336 DOWN 0.6281 -0.4000
7952377 DOWN 0.6281 -0.4000
7952856 SYNCTIME f90
7952951 DOWN -0.2906 -0.3625
7953003 MOVE -0.2906 -0.3594
7953004 DOWN -0.2906 -0.3594
7955751 DOWN -0.4594 0.5281
7955780 DOWN -0.4594 0.5281
7956587 SELECT 2
7956670 DOWN -0.4219 0.5844
7956811 BEGIN 77
7958458 DOWN 0.6656 -0.4781
7958531 DOWN 0.6656 -0.4781
7959371 DOWN 0.6094 0.5938
7959410 MOVE 0.6050 0.5938
7959427 MOVE 0.6094 0.5843
7959433 DOWN 0.6094 0.5843
7960197 DOWN -0.2875 0.6625
7960244 MOVE -0.2842 0.6625
7960257 DOWN -0.2842 0.6625
7960977 DOWN -0.3313 -0.2156
7961044 MOVE -0.3313 -0.2217
7961049 MOVE -0.3313 -0.2219
7961050 DOWN -0.3313 -0.2219
7962024 DOWN 0.6344 -0.3969
7962107 MOVE 0.6375 -0.3969
7962107 DOWN 0.6375 -0.3969
7962947 DOWN 0.6750 0.6313
7962987 DOWN 0.6750 0.6313
7963740 DOWN -0.3031 0.6625
7963761 MOVE -0.3031 0.6672
7963769 DOWN -0.3031 0.6672
7964311 DOWN -0.2594 -0.2500
7964351 DOWN -0.2594 -0.2500
7964543 SYNCTIME f77
7967508 DOWN -0.4219 -0.3781
7967559 DOWN -0.4219 -0.3781
7967691 SELECT 0
7967747 MOVE -0.4219 -0.4625
7967748 DOWN -0.4219 -0.4625
7968841 BEGIN 91
7971452 DOWN 0.5281 -0.5281
7971513 DOWN 0.5281 -0.5281
7972056 DOWN 0.6781 0.6344
7972079 MOVE 0.6781 0.6311
7972095 MOVE 0.6875 0.6156
7972096 DOWN 0.6875 0.6156
7972649 DOWN -0.2438 0.5781
7972663 MOVE -0.2474 0.5745
7972680 MOVE -0.2469 0.5655
7972689 MOVE -0.2469 0.5625
7972689 DOWN -0.2469 0.5625
7973187 DOWN -0.2438 -0.3656
7973227 DOWN -0.2438 -0.3656
7974343 DOWN 0.6344 -0.4594
7974394 MOVE 0.6375 -0.4812
7974395 DOWN 0.6375 -0.4812
7974838 DOWN 0.5437 0.6094
7974889 DOWN 0.5437 0.6094
7975332 DOWN -0.1875 0.3531
7975380 MOVE -0.1808 0.3498
7975383 DOWN -0.1808 0.3498
7975750 DOWN -0.1094 -0.3063
7975779 MOVE -0.1094 -0.3094
7975779 DOWN -0.1094 -0.3094
7976857 SYNCTIME f91
7976904 DOWN 0.6062 -0.5531
7976978 DOWN 0.6062 -0.5531
7980004 DOWN 0.5406 0.6625
7980064 MOVE 0.5406 0.6591
7980066 DOWN 0.5406 0.6591
7980187 SELECT 3
7980249 MOVE 0.5351 0.5524
7980259 DOWN 0.5351 0.5524
7981250 BEGIN 70
7982468 DOWN 0.6094 -0.2844
7982499 MOVE 0.6235 -0.2721
7982508 MOVE 0.6313 -0.2656
7982509 DOWN 0.6313 -0.2656
7983250 DOWN 0.6406 0.6375
7983298 MOVE 0.6474 0.6409
7983301 DOWN 0.6474 0.6409
7984385 DOWN -0.3219 0.5875
7984435 DOWN -0.3219 0.5875
7985397 DOWN -0.2188 -0.4000
7985432 MOVE -0.2188 -0.4099
7985437 DOWN -0.2188 -0.4099
7986498 DOWN 0.4844 -0.4406
7986550 MOVE 0.4891 -0.4439
7986559 MOVE 0.4906 -0.4469
7986560 DOWN 0.4906 -0.4469
7987047 DOWN 0.5063 0.6062
7987082 MOVE 0.5030 0.5998
7987087 DOWN 0.5030 0.5998
7987519 DOWN -0.2156 0.5125
7987566 MOVE -0.2156 0.5093
7987571 DOWN -0.2156 0.5093
7987948 DOWN -0.2313 -0.3625
7987967 DOWN -0.2313 -0.3625
7988453 DOWN 0.6562 -0.4344
