10193840 SESSION_BEGIN 18
10193915 BEGIN 75
10202263 DOWN -0.4625 -0.5063
10202298 MOVE -0.4625 -0.5106
10202332 MOVE -0.4373 -0.5182
10202333 DOWN -0.4373 -0.5182
10202622 DOWN 0.5719 -0.4969
10202681 MOVE 0.5684 -0.4969
10202692 DOWN 0.5684 -0.4969
10203004 DOWN -0.3719 0.7500
10203082 MOVE -0.3687 0.7500
10203098 MOVE -0.3632 0.7524
10203115 MOVE -0.3583 0.7573
10203132 MOVE -0.3506 0.7650
10203148 MOVE -0.3276 0.7746
10203150 DOWN -0.3276 0.7746
10203621 DOWN 0.5531 0.6531
10203682 MOVE 0.5907 0.6602
10203698 MOVE 0.6335 0.6811
10203702 DOWN 0.6335 0.6811
10204078 DOWN 0.6156 -0.3313
10204099 MOVE 0.6098 -0.3371
10204115 MOVE 0.6094 -0.3420
10204132 MOVE 0.6125 -0.3406
10204148 MOVE 0.6156 -0.3406
10204148 DOWN 0.6156 -0.3406
10204588 DOWN -0.3063 -0.4094
10204648 MOVE -0.3063 -0.4131
10204665 MOVE -0.2997 -0.4158
10204680 MOVE -0.2937 -0.4219
10204680 DOWN -0.2937 -0.4219
10205131 DOWN -0.3656 0.7000
10205191 MOVE -0.3250 0.6844
10205191 DOWN -0.3250 0.6844
10205651 DOWN 0.5750 -0.4187
10205682 MOVE 0.5706 -0.4276
10205699 MOVE 0.5719 -0.4286
10205733 DOWN 0.5719 -0.4286
10205968 DOWN 0.5031 0.6469
10206049 MOVE 0.5031 0.6392
10206065 MOVE 0.4969 0.6187
10206071 DOWN 0.4969 0.6187
10206352 DOWN -0.4469 -0.3438
10206410 MOVE -0.4375 -0.3219
10206411 DOWN -0.4375 -0.3219
10206587 SYNCTIME f75
10206797 DOWN -0.4156 0.7437
10206866 MOVE -0.4123 0.7437
10206877 MOVE -0.4031 0.7500
10206878 DOWN -0.4031 0.7500
10207200 DOWN 0.3844 0.6719
10207282 MOVE 0.4034 0.6644
10207291 MOVE 0.4062 0.6625
10207292 DOWN 0.4062 0.6625
10207550 DOWN 0.5938 -0.5875
10207582 MOVE 0.5873 -0.5875
10207597 MOVE 0.5844 -0.5906
10207598 DOWN 0.5844 -0.5906
