39059153 SESSION_BEGIN 20
39059217 BEGIN 76
39060217 DOWN 0.4812 -0.5125
39060263 MOVE 0.4812 -0.5158
39060267 DOWN 0.4812 -0.5158
39060792 DOWN -0.4906 -0.4750
39060842 MOVE -0.4875 -0.4844
39060842 DOWN -0.4875 -0.4844
39061357 DOWN -0.3531 0.5437
39061396 DOWN -0.3531 0.5437
39062096 DOWN 0.6281 0.6125
39062124 MOVE 0.6281 0.6094
39062125 DOWN 0.6281 0.6094
39063587 DOWN 0.6531 -0.5531
39063637 MOVE 0.6500 -0.5531
39063638 DOWN 0.6500 -0.5531
39064489 DOWN -0.3313 -0.5375
39064529 DOWN -0.3313 -0.5375
39065098 DOWN -0.3469 0.3812
39065138 DOWN -0.3469 0.3812
39065739 DOWN 0.6250 0.5094
39065779 MOVE 0.6187 0.4906
39065779 DOWN 0.6187 0.4906
39066109 SYNCTIME f76
39066533 DOWN 0.6438 -0.4125
39066573 DOWN 0.6438 -0.4125
39071590 DOWN 0.6438 0.6406
39071632 MOVE 0.6494 0.6469
39071640 MOVE 0.6500 0.6469
39071641 DOWN 0.6500 0.6469
39074128 DOWN -0.5625 0.4156
39074150 MOVE -0.5568 0.4213
39074166 MOVE -0.5562 0.4262
39074200 MOVE -0.5485 0.4173
39074200 DOWN -0.5485 0.4173
39074297 SELECT 2
39074376 MOVE -0.5688 0.3875
39074376 DOWN -0.5688 0.3875
39075719 BEGIN 50
39077556 DOWN -0.4969 -0.5844
39077583 MOVE -0.4931 -0.5881
39077596 MOVE -0.4844 -0.6031
39077596 DOWN -0.4844 -0.6031
39078143 DOWN 0.4563 -0.4000
39078150 DOWN 0.4563 -0.4000
39079362 DOWN 0.7437 0.5344
39079401 MOVE 0.7437 0.5380
39079402 DOWN 0.7437 0.5380
39080298 DOWN -0.2969 0.4406
39080338 DOWN -0.2969 0.4406
39081178 DOWN -0.3313 -0.4000
39081219 DOWN -0.3313 -0.4000
39081962 DOWN -0.3656 0.5625
39082002 DOWN -0.3656 0.5625
39082799 DOWN 0.6906 -0.5531
39082834 MOVE 0.6906 -0.5596
39082838 DOWN 0.6906 -0.5596
39083669 DOWN 0.5969 0.5406
39083689 SYNCTIME f50
39083710 DOWN 0.5969 0.5406
39086525 DOWN -0.5031 -0.5781
39086586 MOVE -0.4954 -0.5781
39086586 DOWN -0.4954 -0.5781
39086694 SELECT 0
39086752 MOVE -0.4250 -0.6375
39086753 DOWN -0.4250 -0.6375
39088116 BEGIN 71
39090019 DOWN 0.5531 -0.4125
39090069 DOWN 0.5531 -0.4125
39090824 DOWN -0.3031 -0.5469
39090864 DOWN -0.3031 -0.5469
39091672 DOWN -0.3187 0.5250
39091712 MOVE -0.3125 0.5156
39091713 DOWN -0.3125 0.5156
39092488 DOWN 0.6656 0.6531
39092528 MOVE 0.6656 0.6500
39092528 DOWN 0.6656 0.6500
39093893 DOWN 0.6469 -0.5125
39093933 DOWN 0.6469 -0.5125
39094676 DOWN -0.2875 -0.6250
39094720 MOVE -0.2847 -0.6309
39094726 MOVE -0.2844 -0.6313
39094727 DOWN -0.2844 -0.6313
39095274 DOWN -0.3625 0.4563
39095320 MOVE -0.3625 0.4530
39095324 DOWN -0.3625 0.4530
39096187 DOWN 0.7812 0.6406
39096217 DOWN 0.7812 0.6406
39096406 SYNCTIME f71
39098880 DOWN 0.4625 0.5281
39098930 DOWN 0.4625 0.5281
39099049 SELECT 3
39099117 MOVE 0.4437 0.4062
39099117 DOWN 0.4437 0.4062
39100263 BEGIN 90
39102015 DOWN -0.3875 -0.6000
39102054 DOWN -0.3875 -0.6000
39102863 DOWN 0.5094 -0.4656
39102913 DOWN 0.5094 -0.4656
39103973 DOWN 0.6187 0.4156
39103988 MOVE 0.6147 0.4156
39104005 MOVE 0.6109 0.4156
39104021 MOVE 0.6125 0.4119
39104023 DOWN 0.6125 0.4119
39104951 DOWN -0.3469 0.5000
39105003 MOVE -0.3438 0.4969
39105004 DOWN -0.3438 0.4969
39106358 DOWN -0.4062 -0.4000
39106397 MOVE -0.4062 -0.4031
39106398 DOWN -0.4062 -0.4031
39107108 DOWN 0.5000 -0.5625
39107158 DOWN 0.5000 -0.5625
39108263 DOWN 0.7000 0.4219
39108290 MOVE 0.6882 0.4101
39108302 MOVE 0.6781 0.3938
39108302 DOWN 0.6781 0.3938
39109177 DOWN -0.3469 0.4344
39109216 MOVE -0.3406 0.4437
39109217 DOWN -0.3406 0.4437
39110178 DOWN -0.2937 -0.5188
39110207 DOWN -0.2937 -0.5188
