65482699 SESSION_BEGIN 13
65482801 BEGIN 71
65491665 DOWN 0.7344 -0.5031
65491707 MOVE 0.7281 -0.5179
65491719 MOVE 0.7281 -0.5226
65491752 MOVE 0.7806 -0.5330
65491754 DOWN 0.7806 -0.5330
65495380 DOWN 0.6156 0.4219
65495402 MOVE 0.6073 0.4219
65495419 MOVE 0.6062 0.4180
65495433 DOWN 0.6062 0.4180
65497071 DOWN -0.3281 0.4938
65497157 DOWN -0.3281 0.4938
65498600 DOWN -0.4656 -0.6187
65498620 MOVE -0.4656 -0.6229
65498636 MOVE -0.4714 -0.6337
65498643 MOVE -0.4719 -0.6344
65498643 DOWN -0.4719 -0.6344
65500511 DOWN 0.6031 -0.5688
65500536 MOVE 0.5972 -0.5747
65500553 MOVE 0.5969 -0.5704
65500565 MOVE 0.5969 -0.5656
65500566 DOWN 0.5969 -0.5656
65502153 DOWN -0.4094 0.5813
65502193 DOWN -0.4094 0.5813
65503525 DOWN 0.6719 0.6438
65503589 DOWN 0.6719 0.6438
65505001 DOWN -0.4062 -0.6125
65505053 DOWN -0.4062 -0.6125
65507076 DOWN 0.6594 -0.4875
65507150 DOWN 0.6594 -0.4875
65508836 DOWN 0.6469 0.6406
65508876 DOWN 0.6469 0.6406
65516250 DOWN -0.3281 0.5594
65516282 DOWN -0.3281 0.5594
65517026 DOWN 0.4062 -0.3938
65517056 MOVE 0.3987 -0.3938
65517073 MOVE 0.3953 -0.3984
65517090 DOWN 0.3953 -0.3984
65517867 DOWN -0.3844 -0.3906
65517911 DOWN -0.3844 -0.3906
65519375 DOWN 0.4000 0.5938
65519418 MOVE 0.3938 0.5906
65519418 DOWN 0.3938 0.5906
65521069 DOWN -0.4031 0.5844
65521089 DOWN -0.4031 0.5844
65522369 DOWN 0.4437 -0.3688
65522409 MOVE 0.4502 -0.3590
65522412 DOWN 0.4502 -0.3590
65523944 DOWN -0.3781 -0.3406
65523974 MOVE -0.3812 -0.3484
65523986 DOWN -0.3812 -0.3484
65525625 DOWN -0.2781 0.5938
65525658 MOVE -0.2781 0.5897
65525675 MOVE -0.2718 0.5906
65525679 DOWN -0.2718 0.5906
65527528 DOWN -0.3094 0.5469
65527571 MOVE -0.3031 0.5531
65527572 DOWN -0.3031 0.5531
65529223 DOWN 0.5969 -0.3531
65529259 MOVE 0.6000 -0.3563
65529264 DOWN 0.6000 -0.3563
65532897 DOWN 0.6562 0.6375
65532970 MOVE 0.6594 0.6406
65532971 DOWN 0.6594 0.6406
65534898 DOWN -0.2125 -0.3594
65534927 MOVE -0.2386 -0.3625
65534943 MOVE -0.2437 -0.3625
65534960 MOVE -0.2453 -0.3625
65534971 DOWN -0.2453 -0.3625
65536527 DOWN -0.3906 -0.4344
65536560 MOVE -0.3969 -0.4402
65536577 MOVE -0.3969 -0.4422
65536593 MOVE -0.3758 -0.4526
65536600 MOVE -0.3750 -0.4531
65536601 DOWN -0.3750 -0.4531
65538134 DOWN 0.5969 0.5250
65538174 MOVE 0.6000 0.5312
65538175 DOWN 0.6000 0.5312
65540375 DOWN 0.6875 -0.4812
65540437 MOVE 0.6906 -0.4812
65540438 DOWN 0.6906 -0.4812
65541949 DOWN 0.6719 -0.4500
65541978 MOVE 0.6674 -0.4576
65542056 DOWN 0.6674 -0.4576
65544157 DOWN -0.2438 0.3094
65544195 MOVE -0.2290 0.2954
65544198 DOWN -0.2290 0.2954
65546072 DOWN 0.6094 0.4844
65546156 DOWN 0.6094 0.4844
65547666 DOWN -0.3438 -0.3969
65547729 MOVE -0.3369 -0.3969
65547740 MOVE -0.3250 -0.3938
65547741 DOWN -0.3250 -0.3938
65549986 DOWN -0.2156 -0.2531
65550013 MOVE -0.2266 -0.2568
65550029 MOVE -0.2308 -0.2562
65550046 MOVE -0.2356 -0.2606
65550069 MOVE -0.2313 -0.2625
65550070 DOWN -0.2313 -0.2625
65551745 DOWN 0.6375 0.5750
65551830 MOVE 0.6424 0.5816
65551846 MOVE 0.6471 0.5945
65551863 MOVE 0.6488 0.6140
65551879 MOVE 0.6536 0.6296
65551896 MOVE 0.6552 0.6428
65551913 MOVE 0.6637 0.6617
65551929 MOVE 0.6710 0.6732
65551946 MOVE 0.6796 0.6866
65551963 MOVE 0.6941 0.7010
65551979 MOVE 0.7089 0.7151
65551996 MOVE 0.7202 0.7321
65552013 MOVE 0.7301 0.7468
65552030 MOVE 0.7370 0.7611
65552046 MOVE 0.7506 0.7799
65552063 MOVE 0.7588 0.7958
65552080 MOVE 0.7684 0.8104
65552096 MOVE 0.7749 0.8248
65552113 MOVE 0.7839 0.8429
65552114 DOWN 0.7839 0.8429
65553287 DOWN -0.0188 0.5344
65553330 MOVE -0.0188 0.5266
65553346 MOVE -0.0188 0.5245
65553364 MOVE -0.0161 0.5166
65553371 MOVE -0.0156 0.5156
65553372 DOWN -0.0156 0.5156
65554829 DOWN -0.1000 0.2625
65554863 MOVE -0.0968 0.2625
65554880 MOVE -0.0868 0.2575
65554890 MOVE -0.0844 0.2562
65554891 DOWN -0.0844 0.2562
65555649 DOWN 0.3219 -0.2125
65555680 MOVE 0.3132 -0.2101
