3112742 SESSION_BEGIN 5
3112931 BEGIN 84
3118010 DOWN 0.7125 -0.2688
3118053 MOVE 0.7125 -0.2781
3118054 DOWN 0.7125 -0.2781
3120083 DOWN 0.5125 0.4406
3120123 MOVE 0.5131 0.4381
3120130 MOVE 0.5125 0.4375
3120131 DOWN 0.5125 0.4375
3121686 DOWN -0.3500 0.5437
3121736 DOWN -0.3500 0.5437
3124735 DOWN -0.4844 -0.5469
3124774 MOVE -0.4812 -0.5469
3124775 DOWN -0.4812 -0.5469
3126242 DOWN 0.5688 -0.5906
3126291 MOVE 0.5656 -0.5938
3126292 DOWN 0.5656 -0.5938
3126982 DOWN 0.4812 0.3969
3127021 DOWN 0.4812 0.3969
3127581 DOWN -0.3938 -0.5656
3127625 MOVE -0.3876 -0.5686
3127641 MOVE -0.3875 -0.5781
3127642 DOWN -0.3875 -0.5781
3128355 DOWN -0.3875 0.5437
3128392 MOVE -0.3840 0.5402
3128404 MOVE -0.3781 0.5312
3128404 DOWN -0.3781 0.5312
3129161 DOWN 0.7656 -0.5938
3129200 MOVE 0.7719 -0.5969
3129201 DOWN 0.7719 -0.5969
3130230 DOWN 0.6438 0.5094
3130269 DOWN 0.6438 0.5094
3130868 SYNCTIME f84
3130914 DOWN -0.4906 -0.5406
3130955 DOWN -0.4906 -0.5406
3131798 DOWN -0.4250 0.5469
3131850 DOWN -0.4250 0.5469
3134322 DOWN 0.6281 -0.5969
3134362 DOWN 0.6281 -0.5969
3139865 DOWN -0.3219 -0.4938
3139894 MOVE -0.3187 -0.4955
3139904 MOVE -0.3187 -0.4969
3139905 DOWN -0.3187 -0.4969
3140441 DOWN 0.5156 0.4500
3140477 MOVE 0.5190 0.4500
3140491 MOVE 0.5156 0.4437
3140492 DOWN 0.5156 0.4437
3141018 DOWN -0.4437 0.4812
3141078 MOVE -0.4400 0.4812
3141079 DOWN -0.4400 0.4812
3141584 DOWN 0.6938 -0.6031
3141634 MOVE 0.6938 -0.6062
3141635 DOWN 0.6938 -0.6062
3142270 DOWN -0.3688 -0.5844
3142331 DOWN -0.3688 -0.5844
3143065 DOWN -0.2719 0.5312
3143105 DOWN -0.2719 0.5312
3143664 DOWN 0.6781 -0.6531
3143725 DOWN 0.6781 -0.6531
3144218 DOWN 0.6062 0.4156
3144291 DOWN 0.6062 0.4156
3145079 DOWN -0.3281 0.4750
3145128 MOVE -0.3281 0.4716
3145130 DOWN -0.3281 0.4716
3145612 DOWN -0.3250 -0.4187
3145674 DOWN -0.3250 -0.4187
3146254 DOWN 0.6687 -0.7031
3146337 MOVE 0.6687 -0.7063
3146338 DOWN 0.6687 -0.7063
3146863 DOWN 0.7594 0.3781
3146945 MOVE 0.7627 0.3781
3146947 DOWN 0.7627 0.3781
3147528 DOWN -0.3625 0.5312
3147595 MOVE -0.3593 0.5249
3147600 DOWN -0.3593 0.5249
3148072 DOWN -0.3031 -0.5437
3148129 MOVE -0.2999 -0.5437
3148133 DOWN -0.2999 -0.5437
3148790 DOWN 0.5688 0.3781
3148829 MOVE 0.5651 0.3781
3148874 DOWN 0.5651 0.3781
3149497 DOWN 0.6594 -0.5938
3149538 DOWN 0.6594 -0.5938
3150119 DOWN -0.3906 0.5344
3150179 MOVE -0.3838 0.5276
3150180 DOWN -0.3838 0.5276
3150697 DOWN -0.3625 -0.4281
3150746 DOWN -0.3625 -0.4281
3151479 DOWN 0.5125 0.4000
3151519 MOVE 0.5125 0.3969
3151520 DOWN 0.5125 0.3969
3152154 DOWN 0.6687 -0.5906
3152180 MOVE 0.6687 -0.5953
3152204 MOVE 0.6719 -0.6000
3152205 DOWN 0.6719 -0.6000
3152808 DOWN -0.3750 0.4969
3152849 DOWN -0.3750 0.4969
3153472 DOWN -0.3938 -0.5688
3153522 MOVE -0.3906 -0.5719
3153523 DOWN -0.3906 -0.5719
3154092 DOWN 0.6438 -0.6156
3154153 MOVE 0.6438 -0.6219
3154154 DOWN 0.6438 -0.6219
3154690 DOWN 0.5781 0.5594
3154713 MOVE 0.5734 0.5547
3154752 DOWN 0.5734 0.5547
3155497 DOWN 0.6344 -0.3500
3155569 DOWN 0.6344 -0.3500
3156292 DOWN -0.3750 0.4938
3156343 DOWN -0.3750 0.4938
3156978 DOWN -0.3812 -0.4656
3157028 MOVE -0.3875 -0.4719
3157029 DOWN -0.3875 -0.4719
3157587 DOWN 0.5594 0.3344
3157638 DOWN 0.5594 0.3344
3158142 DOWN 0.7781 -0.6125
3158164 MOVE 0.7752 -0.6214
3158180 MOVE 0.7734 -0.6250
3158214 MOVE 0.7785 -0.6254
3158215 DOWN 0.7785 -0.6254
3158771 DOWN 0.4531 0.5250
3158797 MOVE 0.4565 0.5250
3158812 MOVE 0.4594 0.5250
3158813 DOWN 0.4594 0.5250
3159240 DOWN -0.3562 0.5344
3159290 MOVE -0.3531 0.5344
3159291 DOWN -0.3531 0.5344
3159785 DOWN -0.2844 -0.4125
3159846 MOVE -0.2812 -0.4156
3159846 DOWN -0.2812 -0.4156
3160329 DOWN 0.6094 -0.6750
3160378 DOWN 0.6094 -0.6750
3160926 DOWN 0.6000 0.4656
3160966 DOWN 0.6000 0.4656
3161646 DOWN -0.4437 -0.4250
3161685 DOWN -0.4437 -0.4250
3163075 DOWN 0.4875 0.4125
3163103 DOWN 0.4875 0.4125
3167993 DOWN 0.5938 -0.5344
3168021 DOWN 0.5938 -0.5344
3168898 DOWN -0.3719 -0.4906
3168925 MOVE -0.3719 -0.4938
3168926 DOWN -0.3719 -0.4938
3169387 DOWN 0.5406 0.4812
3169425 MOVE 0.5375 0.4844
3169426 DOWN 0.5375 0.4844
3169875 DOWN -0.4781 0.5437
3169915 DOWN -0.4781 0.5437
3170365 DOWN 0.5562 -0.5094
3170404 DOWN 0.5562 -0.5094
3170854 DOWN -0.3344 -0.5000
3170866 MOVE -0.3377 -0.5000
3170899 MOVE -0.3344 -0.5067
3170905 DOWN -0.3344 -0.5067
3171408 DOWN 0.4812 0.4344
3171448 DOWN 0.4812 0.4344
3172424 DOWN 0.5156 0.5063
3172462 DOWN 0.5156 0.5063
3173174 DOWN -0.4156 0.4062
3173225 DOWN -0.4156 0.4062
3173718 DOWN -0.3375 -0.4219
3173768 DOWN -0.3375 -0.4219
3174393 DOWN 0.5719 -0.6281
3174450 MOVE 0.5719 -0.6314
3174454 DOWN 0.5719 -0.6314
3175230 SELECT 1
3175331 MOVE 0.6031 -0.5781
3175332 DOWN 0.6031 -0.5781
3179675 BEGIN 77
3180347 DOWN -0.8438 -0.5344
3180385 MOVE -0.8403 -0.5379
3180398 MOVE -0.8313 -0.5437
3180398 DOWN -0.8313 -0.5437
3180782 DOWN -0.4812 0.6031
3180855 DOWN -0.4812 0.6031
3181228 DOWN 0.5719 0.3531
3181269 MOVE 0.5795 0.3531
3181300 MOVE 0.5781 0.3500
3181300 DOWN 0.5781 0.3500
3181651 DOWN 0.2562 -0.5531
3181713 MOVE 0.2500 -0.5500
3181713 DOWN 0.2500 -0.5500
3181997 DOWN -0.5969 -0.4844
3182035 MOVE -0.6042 -0.4844
3182068 MOVE -0.6105 -0.4844
3182085 MOVE -0.6122 -0.4988
3182091 MOVE -0.6125 -0.5000
3182091 DOWN -0.6125 -0.5000
3182530 SELECT 0
3182600 DOWN -0.3313 -0.5625
3184507 SYNCTIME f63
3191505 BEGIN 63
3193532 DOWN 0.4750 -0.5312
3193561 DOWN 0.4750 -0.5312
3194132 DOWN -0.4531 -0.5000
3194170 MOVE -0.4531 -0.5031
3194171 DOWN -0.4531 -0.5031
3194707 DOWN -0.3344 0.3844
3194747 DOWN -0.3344 0.3844
3195316 DOWN 0.4750 0.4625
3195345 DOWN 0.4750 0.4625
3195851 DOWN 0.5469 -0.6031
3195889 DOWN 0.5469 -0.6031
3196371 DOWN -0.4062 -0.4250
3196399 DOWN -0.4062 -0.4250
