10181928 SESSION_BEGIN 7
10181981 BEGIN 87
10184084 DOWN 0.4094 0.5188
10184117 DOWN 0.4094 0.5188
10185616 DOWN 0.3938 -0.5375
10185647 DOWN 0.3938 -0.5375
10186872 DOWN -0.3562 -0.3469
10186903 DOWN -0.3562 -0.3469
10188393 DOWN -0.3219 0.6313
10188425 DOWN -0.3219 0.6313
10189718 DOWN 0.6375 0.5500
10189772 DOWN 0.6375 0.5500
10191054 DOWN 0.6250 -0.3844
10191092 MOVE 0.6282 -0.3844
10191096 DOWN 0.6282 -0.3844
10192610 DOWN -0.4062 -0.4406
10192653 DOWN -0.4062 -0.4406
10194085 DOWN -0.3281 0.4625
10194125 MOVE -0.3246 0.4625
10194128 DOWN -0.3246 0.4625
10195514 DOWN 0.6375 0.4750
10195556 DOWN 0.6375 0.4750
10196919 DOWN 0.5656 -0.4125
10196959 MOVE 0.5691 -0.4125
10196962 DOWN 0.5691 -0.4125
10198141 DOWN -0.3375 -0.5281
10198183 MOVE -0.3344 -0.5281
10198183 DOWN -0.3344 -0.5281
10199477 DOWN -0.3812 0.4938
10199510 MOVE -0.3770 0.4938
10199520 DOWN -0.3770 0.4938
10200882 DOWN 0.4969 0.4469
10200925 DOWN 0.4969 0.4469
10202288 DOWN 0.4375 -0.3656
10202327 MOVE 0.4483 -0.3695
10202330 DOWN 0.4483 -0.3695
10203659 DOWN -0.3031 -0.3688
10203690 MOVE -0.3000 -0.3719
10203690 DOWN -0.3000 -0.3719
10204926 DOWN -0.4437 0.5844
10204969 MOVE -0.4406 0.5813
10204969 DOWN -0.4406 0.5813
10206262 DOWN 0.5750 0.5031
10206311 MOVE 0.5816 0.5031
10206317 DOWN 0.5816 0.5031
10207473 DOWN 0.4812 -0.4688
10207515 DOWN 0.4812 -0.4688
10208717 DOWN -0.3438 -0.4062
10208745 MOVE -0.3484 -0.4062
10208747 DOWN -0.3484 -0.4062
10209339 DOWN -0.3594 0.6000
10209392 MOVE -0.3562 0.6000
10209393 DOWN -0.3562 0.6000
10209938 DOWN 0.4938 0.5844
10209978 MOVE 0.5103 0.5768
10209980 DOWN 0.5103 0.5768
10210559 DOWN 0.6625 -0.3844
10210591 DOWN 0.6625 -0.3844
10211182 DOWN -0.2250 -0.3156
10211223 MOVE -0.2250 -0.3187
10211224 DOWN -0.2250 -0.3187
10211838 DOWN -0.2844 0.6250
10211858 DOWN -0.2844 0.6250
10212437 DOWN 0.5562 0.5656
10212479 MOVE 0.5599 0.5656
10212490 MOVE 0.5625 0.5656
10212491 DOWN 0.5625 0.5656
10213023 DOWN 0.5656 -0.3875
10213064 SYNCTIME f87
10213067 DOWN 0.5656 -0.3875
10216505 DOWN -0.3531 0.5719
10216545 MOVE -0.3500 0.5688
10216546 DOWN -0.3500 0.5688
10217298 SELECT 2
10217366 DOWN -0.3500 0.5375
10220464 BEGIN 83
10221814 DOWN -0.3719 -0.3594
10221856 MOVE -0.3688 -0.3594
10221856 DOWN -0.3688 -0.3594
10222389 DOWN 0.4938 -0.4281
10222431 MOVE 0.4974 -0.4281
10222432 DOWN 0.4974 -0.4281
10222931 DOWN 0.5156 0.5250
10222982 MOVE 0.5156 0.5217
10222988 DOWN 0.5156 0.5217
10223484 DOWN -0.1937 0.4594
10223538 MOVE -0.1906 0.4563
10223538 DOWN -0.1906 0.4563
10223922 DOWN -0.2812 -0.3594
10223964 MOVE -0.2781 -0.3625
10223965 DOWN -0.2781 -0.3625
10224405 DOWN 0.4969 -0.4156
10224432 MOVE 0.4969 -0.4189
10224436 DOWN 0.4969 -0.4189
10224889 DOWN 0.5688 0.4437
10224943 DOWN 0.5688 0.4437
10225350 DOWN -0.4469 0.5688
10225382 MOVE -0.4406 0.5625
10225382 DOWN -0.4406 0.5625
10226259 DOWN -0.4187 -0.5875
10226268 DOWN -0.4187 -0.5875
10226430 SYNCTIME f83
10226870 DOWN 0.5094 -0.5437
10226898 MOVE 0.5130 -0.5402
10226902 DOWN 0.5130 -0.5402
10227873 DOWN 0.5906 0.8844
10227881 DOWN 0.5906 0.8844
10229601 DOWN 0.5406 -0.4281
10229619 MOVE 0.5437 -0.4313
10229619 DOWN 0.5437 -0.4313
10230556 SELECT 1
10230614 MOVE 0.3781 -0.4375
10230614 DOWN 0.3781 -0.4375
10231831 BEGIN 91
10233125 DOWN -0.4125 -0.4062
10233157 MOVE -0.4094 -0.4062
10233158 DOWN -0.4094 -0.4062
10233828 DOWN 0.5500 -0.4031
10233858 MOVE 0.5531 -0.4031
10233860 DOWN 0.5531 -0.4031
10234449 DOWN 0.5781 0.6000
10234491 MOVE 0.5875 0.5969
10234491 DOWN 0.5875 0.5969
10235083 DOWN -0.3812 0.4844
10235114 MOVE -0.3781 0.4812
10235115 DOWN -0.3781 0.4812
10235659 DOWN -0.3781 -0.3844
10235700 MOVE -0.3541 -0.3919
10235701 DOWN -0.3541 -0.3919
10236212 DOWN 0.4313 -0.5625
10236234 MOVE 0.4444 -0.5679
10236243 MOVE 0.4469 -0.5688
10236243 DOWN 0.4469 -0.5688
10236800 DOWN 0.4938 0.5031
10236829 MOVE 0.5031 0.4969
10236830 DOWN 0.5031 0.4969
10237410 DOWN -0.2844 0.6500
10237450 MOVE -0.2808 0.6465
10237452 DOWN -0.2808 0.6465
10237963 DOWN -0.3719 -0.3375
10237994 MOVE -0.3656 -0.3406
10237994 DOWN -0.3656 -0.3406
10238173 SYNCTIME f91
10241809 DOWN 0.4844 0.5938
10241829 MOVE 0.4906 0.5906
10241830 DOWN 0.4906 0.5906
10243019 DOWN 0.3625 0.5437
10243034 MOVE 0.3664 0.5437
10243049 MOVE 0.3688 0.5406
10243050 DOWN 0.3688 0.5406
10244194 DOWN 0.4531 0.5656
10244219 MOVE 0.4626 0.5624
10244223 DOWN 0.4626 0.5624
10244851 SELECT 3
10244915 DOWN 0.4000 0.5531
10245836 BEGIN 90
10247222 DOWN -0.6156 -0.4187
