38653898 SESSION_BEGIN 3
38653958 BEGIN 82
38654688 DOWN -0.2812 -0.5906
38654734 MOVE -0.2746 -0.5939
38654748 MOVE -0.2656 -0.5938
38654748 DOWN -0.2656 -0.5938
38655038 DOWN 0.3406 -0.5500
38655088 DOWN 0.3406 -0.5500
38655357 DOWN 0.3625 0.2375
38655401 MOVE 0.3625 0.2343
38655418 MOVE 0.3594 0.2293
38655434 MOVE 0.3594 0.2266
38655438 DOWN 0.3594 0.2266
38655664 DOWN -0.2875 0.3781
38655685 MOVE -0.2932 0.3781
38655701 MOVE -0.2980 0.3781
38655718 MOVE -0.3055 0.3726
38655735 MOVE -0.3156 0.3672
38655745 MOVE -0.3187 0.3656
38655746 DOWN -0.3187 0.3656
38655929 DOWN -0.4062 -0.4094
38655952 MOVE -0.4124 -0.4094
38655968 MOVE -0.4141 -0.4094
38655984 MOVE -0.4061 -0.4094
38655989 DOWN -0.4061 -0.4094
38656226 DOWN 0.3625 -0.4781
38656251 MOVE 0.3625 -0.4818
38656275 DOWN 0.3625 -0.4818
38656512 DOWN 0.3344 0.2875
38656568 MOVE 0.3344 0.2912
38656593 MOVE 0.3281 0.2906
38656593 DOWN 0.3281 0.2906
38656819 DOWN -0.2937 0.3000
38656851 MOVE -0.2998 0.3000
38656868 MOVE -0.3046 0.3000
38656885 MOVE -0.3078 0.3000
38656901 MOVE -0.3063 0.2937
38656901 DOWN -0.3063 0.2937
38657127 DOWN -0.4156 -0.3531
38657177 DOWN -0.4156 -0.3531
38657436 DOWN 0.4531 -0.4031
38657469 MOVE 0.4466 -0.4031
38657485 MOVE 0.4417 -0.3958
38657501 MOVE 0.4368 -0.3822
38657518 MOVE 0.4424 -0.3658
38657526 MOVE 0.4437 -0.3625
38657527 DOWN 0.4437 -0.3625
38657720 DOWN 0.4844 0.4062
38657758 MOVE 0.4812 0.4062
38657759 DOWN 0.4812 0.4062
38657973 SELECT 3
38658045 MOVE 0.3254 0.2062
38658058 DOWN 0.3254 0.2062
38658439 SYNCTIME f53
38659400 BEGIN 53
38659975 DOWN -0.2094 -0.3719
38660002 MOVE -0.2141 -0.3719
38660019 MOVE -0.2168 -0.3719
38660035 MOVE -0.2106 -0.3699
38660045 MOVE -0.2094 -0.3688
38660045 DOWN -0.2094 -0.3688
38660400 DOWN 0.4625 -0.3688
38660439 DOWN 0.4625 -0.3688
38660824 DOWN 0.4344 0.3281
38660886 MOVE 0.4375 0.3267
38660897 MOVE 0.4375 0.3281
38660897 DOWN 0.4375 0.3281
38661122 DOWN -0.1750 0.3875
38661193 MOVE -0.1719 0.3875
38661194 DOWN -0.1719 0.3875
38661613 DOWN -0.2438 -0.3906
38661636 MOVE -0.2438 -0.3972
38661669 MOVE -0.2293 -0.3931
38661683 MOVE -0.2156 -0.3906
38661683 DOWN -0.2156 -0.3906
38661963 DOWN 0.4563 -0.4094
38662033 DOWN 0.4563 -0.4094
38662302 DOWN 0.4094 0.4250
38662394 MOVE 0.4031 0.4187
38662395 DOWN 0.4031 0.4187
38662599 DOWN -0.2688 0.4344
38662636 MOVE -0.2761 0.4344
38662669 MOVE -0.2827 0.4253
38662670 DOWN -0.2827 0.4253
38662907 DOWN -0.2656 -0.5031
38662952 MOVE -0.2590 -0.4969
38662957 DOWN -0.2590 -0.4969
38663203 DOWN 0.4625 -0.6406
38663237 MOVE 0.4625 -0.6467
38663253 MOVE 0.4625 -0.6484
38663269 MOVE 0.4561 -0.6373
38663275 DOWN 0.4561 -0.6373
38663500 DOWN 0.4437 0.2844
38663536 MOVE 0.4472 0.2844
38663553 MOVE 0.4524 0.2899
38663569 MOVE 0.4575 0.2906
38663586 MOVE 0.4656 0.2859
38663603 MOVE 0.4656 0.2875
38663604 DOWN 0.4656 0.2875
38663819 DOWN -0.2875 0.3313
38663900 MOVE -0.2844 0.3281
38663901 DOWN -0.2844 0.3281
38664125 SYNCTIME f53
38664276 DOWN -0.2594 -0.4531
38664303 MOVE -0.2594 -0.4578
38664319 MOVE -0.2534 -0.4654
38664325 MOVE -0.2531 -0.4656
38664326 DOWN -0.2531 -0.4656
38664692 DOWN 0.4688 -0.6594
38664720 MOVE 0.4688 -0.6634
38664753 MOVE 0.4648 -0.6562
38664762 MOVE 0.4625 -0.6562
38664763 DOWN 0.4625 -0.6562
38665117 DOWN 0.4406 0.4437
38665170 MOVE 0.4444 0.4400
38665186 MOVE 0.4475 0.4369
38665203 MOVE 0.4500 0.4314
38665209 MOVE 0.4500 0.4313
38665210 DOWN 0.4500 0.4313
38665564 DOWN -0.3219 0.4750
38665603 MOVE -0.3156 0.4688
38665603 DOWN -0.3156 0.4688
38665851 DOWN -0.3094 -0.4156
38665903 MOVE -0.2899 -0.4236
38665910 MOVE -0.2875 -0.4250
38665912 DOWN -0.2875 -0.4250
38666200 DOWN 0.4250 -0.4000
38666240 DOWN 0.4250 -0.4000
38666884 DOWN -0.2969 -0.4281
