24794063 SESSION_BEGIN 1
24794283 BEGIN 79
24800253 DOWN -0.4187 -0.5750
24800310 MOVE -0.4187 -0.5782
24800314 DOWN -0.4187 -0.5782
24803000 DOWN 0.6594 -0.4844
24803028 MOVE 0.6516 -0.4766
24803044 MOVE 0.6468 -0.4750
24803071 MOVE 0.6438 -0.4781
24803072 DOWN 0.6438 -0.4781
24805746 DOWN 0.5188 0.7937
24805778 MOVE 0.5188 0.7848
24805795 MOVE 0.5234 0.7658
24805811 MOVE 0.5250 0.7335
24805827 MOVE 0.5250 0.7031
24805827 DOWN 0.5250 0.7031
24806562 DOWN -0.4688 0.4500
24806595 MOVE -0.4688 0.4594
24806611 MOVE -0.4656 0.4625
24806612 DOWN -0.4656 0.4625
24807173 DOWN -0.3562 -0.4844
24807211 MOVE -0.3562 -0.4918
24807212 DOWN -0.3562 -0.4918
24807849 DOWN 0.7469 -0.5938
24807909 DOWN 0.7469 -0.5938
24808438 DOWN 0.6187 0.5000
24808495 MOVE 0.6155 0.4935
24808500 DOWN 0.6155 0.4935
24808888 DOWN -0.2812 0.4719
24808939 DOWN -0.2812 0.4719
24809241 DOWN -0.4625 -0.6187
24809295 MOVE -0.4388 -0.6216
24809312 MOVE -0.4330 -0.6264
24809313 DOWN -0.4330 -0.6264
24809648 DOWN 0.5562 0.4125
24809719 DOWN 0.5562 0.4125
24809968 DOWN 0.6250 -0.6031
24810012 MOVE 0.6219 -0.6000
24810028 MOVE 0.6172 -0.6000
24810040 DOWN 0.6172 -0.6000
24810321 DOWN -0.2656 0.3938
24810345 MOVE -0.2622 0.3833
24810349 DOWN -0.2622 0.3833
24810367 SYNCTIME f79
24810598 DOWN 0.6438 -0.6500
24810690 MOVE 0.6344 -0.6438
24810691 DOWN 0.6344 -0.6438
24811048 DOWN -0.3625 -0.5531
24811112 MOVE -0.3625 -0.5590
24811119 MOVE -0.3625 -0.5594
24811120 DOWN -0.3625 -0.5594
24813491 DOWN 0.8062 -0.4656
