120473291 SESSION_BEGIN 24
120525733 DOWN 0.5111 0.5554
120526202 DOWN -0.3906 0.5500
120526248 MOVE -0.3695 0.5716
120526252 DOWN -0.3695 0.5716
120527212 DOWN -0.4219 -0.3281
120527262 DOWN -0.4219 -0.3281
120527740 DOWN 0.6000 -0.2531
120527765 MOVE 0.5936 -0.2564
120527832 MOVE 0.5970 -0.2530
120527835 DOWN 0.5970 -0.2530
120528457 DOWN 0.6500 0.6531
120528482 MOVE 0.6462 0.6500
120528499 MOVE 0.6438 0.6445
120528515 MOVE 0.6438 0.6422
120528540 MOVE 0.6438 0.6500
120528541 DOWN 0.6438 0.6500
120528988 DOWN -0.3969 0.6594
120529065 MOVE -0.3937 0.6594
120529071 DOWN -0.3937 0.6594
120529486 DOWN -0.3281 -0.3125
120529558 DOWN -0.3281 -0.3125
120529721 SYNCTIME f76
120532170 DOWN -0.4969 -0.5063
120532216 MOVE -0.4862 -0.4697
120532220 DOWN -0.4862 -0.4697
120532350 SELECT 0
120532417 MOVE -0.3719 -0.3844
120532417 DOWN -0.3719 -0.3844
120533364 BEGIN 50
120534412 DOWN -0.4062 -0.4219
120534434 MOVE -0.4114 -0.4270
120534450 MOVE -0.4125 -0.4356
120534464 MOVE -0.4000 -0.4500
120534465 DOWN -0.4000 -0.4500
120535303 DOWN 0.6219 -0.3250
120535350 MOVE 0.6219 -0.3316
120535353 DOWN 0.6219 -0.3316
120535746 DOWN 0.6406 0.6469
120535767 MOVE 0.6406 0.6414
120535783 MOVE 0.6406 0.6366
120535817 MOVE 0.6371 0.6375
120535819 DOWN 0.6371 0.6375
120536245 DOWN -0.2562 0.7531
120536267 MOVE -0.2562 0.7472
120536283 MOVE -0.2562 0.7453
120536316 MOVE -0.2375 0.7781
120536317 DOWN -0.2375 0.7781
120537211 DOWN -0.2344 -0.2625
120537251 MOVE -0.2375 -0.2608
120537261 MOVE -0.2375 -0.2594
120537261 DOWN -0.2375 -0.2594
120537687 DOWN 0.3844 -0.0094
120537734 MOVE 0.3804 -0.0094
120537767 MOVE 0.3779 -0.0060
120537780 MOVE 0.3750 0.0031
120537781 DOWN 0.3750 0.0031
120538413 DOWN 0.7219 -0.3750
120538450 MOVE 0.7183 -0.3750
120538467 MOVE 0.7156 -0.3692
120538474 MOVE 0.7156 -0.3688
120538475 DOWN 0.7156 -0.3688
120538792 DOWN -0.2875 0.5906
120538851 MOVE -0.2908 0.5840
120538884 MOVE -0.2615 0.5943
120538886 DOWN -0.2615 0.5943
120539355 DOWN 0.6250 0.7906
120539401 MOVE 0.6250 0.7828
120539434 MOVE 0.6281 0.7850
120539438 DOWN 0.6281 0.7850
120539736 SYNCTIME f50
120539786 DOWN -0.2688 -0.2844
120539834 MOVE -0.2622 -0.2878
120539838 DOWN -0.2622 -0.2878
120542744 DOWN -0.4313 -0.4125
120542768 MOVE -0.4313 -0.4192
120542785 MOVE -0.4194 -0.4347
120542794 MOVE -0.4156 -0.4375
120542794 DOWN -0.4156 -0.4375
120542923 SELECT 0
120542978 DOWN -0.2500 -0.3938
120544609 BEGIN 67
120546652 DOWN 0.4875 -0.2812
120546719 MOVE 0.4971 -0.2749
120546724 DOWN 0.4971 -0.2749
120547299 DOWN 0.5312 0.6531
120547336 MOVE 0.5218 0.6531
120547352 MOVE 0.5219 0.6484
120547384 DOWN 0.5219 0.6484
120547887 DOWN -0.4906 0.5344
120547902 MOVE -0.4949 0.5344
120547915 MOVE -0.5031 0.5250
120547916 DOWN -0.5031 0.5250
120548526 DOWN -0.3094 -0.3719
120548555 DOWN -0.3094 -0.3719
120549286 DOWN 0.5531 -0.2844
120549303 MOVE 0.5484 -0.2891
120549319 MOVE 0.5406 -0.2938
120549336 MOVE 0.5359 -0.3031
120549353 MOVE 0.5344 -0.3065
120549379 MOVE 0.5344 -0.3031
120549379 DOWN 0.5344 -0.3031
120549903 DOWN 0.5719 0.5750
120549954 DOWN 0.5719 0.5750
120550477 DOWN -0.3250 0.6625
120550517 DOWN -0.3250 0.6625
120551074 DOWN -0.4187 -0.3250
120551113 MOVE -0.4125 -0.3187
120551113 DOWN -0.4125 -0.3187
120551794 SYNCTIME f67
120555638 DOWN 0.7094 0.3812
120555733 DOWN 0.7094 0.3812
120555940 SELECT 3
120556022 MOVE 0.7811 0.5285
120556030 DOWN 0.7811 0.5285
120556857 BEGIN 84
120561341 DOWN 0.4656 -0.4500
120561355 MOVE 0.4620 -0.4536
120561372 MOVE 0.4578 -0.4578
120561381 DOWN 0.4578 -0.4578
120561752 DOWN 0.5625 0.4812
120561788 MOVE 0.5517 0.4812
120561792 DOWN 0.5517 0.4812
120562477 DOWN -0.3812 0.6406
120562519 DOWN -0.3812 0.6406
120563097 DOWN -0.3656 -0.2750
120563147 MOVE -0.3656 -0.2688
120563148 DOWN -0.3656 -0.2688
120564029 DOWN 0.5813 -0.1937
120564069 DOWN 0.5813 -0.1937
120564615 DOWN 0.5281 0.4688
120564639 MOVE 0.5281 0.4620
120564687 MOVE 0.5281 0.4594
120564687 DOWN 0.5281 0.4594
120565090 DOWN -0.1781 0.4656
120565122 MOVE -0.1868 0.4656
120565139 MOVE -0.1880 0.4656
120565218 DOWN -0.1880 0.4656
120565534 DOWN -0.1656 -0.0719
120565572 MOVE -0.1727 -0.0719
120565589 MOVE -0.1766 -0.0719
120565639 MOVE -0.1719 -0.0656
120565639 DOWN -0.1719 -0.0656
120566065 DOWN 0.4281 -0.2000
120566122 MOVE 0.4281 -0.2037
120566127 DOWN 0.4281 -0.2037
120566548 SYNCTIME f84
120569445 DOWN 0.5938 -0.3438
120569474 MOVE 0.5938 -0.3476
120569490 MOVE 0.5876 -0.3500
120569506 MOVE 0.5875 -0.3547
120569523 MOVE 0.5875 -0.3578
120569539 MOVE 0.5875 -0.3500
120569540 DOWN 0.5875 -0.3500
120569856 SELECT 1
120569877 MOVE 0.6438 -0.2858
120569931 DOWN 0.6438 -0.2858
120571156 BEGIN 59
120572408 DOWN -0.2688 -0.3906
120572480 MOVE -0.2438 -0.3688
120572480 DOWN -0.2438 -0.3688
120573102 DOWN 0.5656 -0.3531
120573140 MOVE 0.5656 -0.3575
120573185 DOWN 0.5656 -0.3575
120573709 DOWN 0.5188 0.6750
120573770 MOVE 0.5156 0.6781
120573771 DOWN 0.5156 0.6781
120574336 DOWN -0.1937 0.6500
120574407 MOVE -0.1937 0.6428
120574424 MOVE -0.1937 0.6379
120574441 MOVE -0.1937 0.6331
120574442 DOWN -0.1937 0.6331
120575348 DOWN -0.1906 -0.2438
120575374 MOVE -0.1953 -0.2438
120575419 DOWN -0.1953 -0.2438
120575932 DOWN 0.5719 -0.2062
120576015 MOVE 0.5719 -0.2000
120576015 DOWN 0.5719 -0.2000
120576462 DOWN 0.5125 0.5625
120576534 DOWN 0.5125 0.5625
120576993 DOWN -0.2281 0.7594
120577074 MOVE -0.2208 0.7520
120577076 DOWN -0.2208 0.7520
120577480 DOWN -0.2219 -0.2844
120577542 DOWN -0.2219 -0.2844
120577861 SYNCTIME f59
120580783 DOWN 0.7281 -0.3094
120580859 MOVE 0.7281 -0.3129
120580878 DOWN 0.7281 -0.3129
120581195 SELECT 1
120581216 MOVE 0.6623 -0.3187
120581259 MOVE 0.6521 -0.3187
120581276 MOVE 0.6531 -0.3153
120581283 DOWN 0.6531 -0.3153
120582069 BEGIN 73
120583160 DOWN -0.3406 -0.2781
120583192 MOVE -0.3466 -0.2638
120583200 MOVE -0.3469 -0.2625
