85215651 SESSION_BEGIN 4
85215709 BEGIN 91
85217704 DOWN 0.2656 -0.4500
85217767 MOVE 0.2656 -0.4420
85217778 MOVE 0.2656 -0.4375
85217778 DOWN 0.2656 -0.4375
85218558 DOWN -0.2188 -0.2781
85218676 MOVE -0.2125 -0.2781
85218677 DOWN -0.2125 -0.2781
85219179 DOWN -0.2594 0.4969
85219250 MOVE -0.2528 0.4936
85219267 MOVE -0.2370 0.4832
85219275 MOVE -0.2344 0.4812
85219276 DOWN -0.2344 0.4812
85219799 DOWN 0.3781 0.6562
85219908 MOVE 0.3844 0.6562
85219908 DOWN 0.3844 0.6562
85220476 DOWN 0.5094 -0.1750
85220534 MOVE 0.5094 -0.1713
85220551 DOWN 0.5094 -0.1713
85222992 SYNCTIME f91
85223038 DOWN -0.2875 -0.2375
85223085 MOVE -0.2875 -0.2312
85223102 MOVE -0.2828 -0.2266
85223102 DOWN -0.2828 -0.2266
85226066 DOWN 0.3406 0.4281
85226102 MOVE 0.3375 0.4349
85226118 MOVE 0.3412 0.4612
85226135 MOVE 0.3576 0.4930
85226151 MOVE 0.3656 0.5031
85226152 DOWN 0.3656 0.5031
85226575 SELECT 3
85226624 MOVE 0.2672 0.4781
85226666 MOVE 0.2875 0.5094
85226666 DOWN 0.2875 0.5094
85227334 BEGIN 53
85231433 DOWN 0.3844 -0.3031
85231454 MOVE 0.3793 -0.3031
85231469 MOVE 0.3746 -0.3031
85231519 DOWN 0.3746 -0.3031
85231899 DOWN -0.3812 -0.3031
85231953 MOVE -0.3609 -0.2537
85231962 MOVE -0.3562 -0.2406
85231963 DOWN -0.3562 -0.2406
85232165 DOWN -0.4563 0.6000
85232203 MOVE -0.4563 0.6043
85232269 MOVE -0.4530 0.6064
85232286 MOVE -0.4346 0.6031
85232295 MOVE -0.4313 0.6031
85232296 DOWN -0.4313 0.6031
85232531 DOWN 0.4219 0.4875
85232570 MOVE 0.4043 0.4979
85232586 MOVE 0.4016 0.5016
85232620 MOVE 0.4115 0.4838
85232627 MOVE 0.4125 0.4812
85232628 DOWN 0.4125 0.4812
85232830 DOWN 0.3750 -0.4594
85232854 MOVE 0.3692 -0.4594
85232870 MOVE 0.3672 -0.4594
85232886 MOVE 0.3632 -0.4535
85232903 MOVE 0.3499 -0.4405
85232905 DOWN 0.3499 -0.4405
85233141 DOWN -0.5281 -0.3125
85233186 MOVE -0.5070 -0.2914
85233193 MOVE -0.5063 -0.2906
85233194 DOWN -0.5063 -0.2906
85233407 DOWN -0.3594 0.6281
85233470 MOVE -0.3491 0.6281
85233486 MOVE -0.3251 0.6219
85233503 MOVE -0.3072 0.6085
85233504 DOWN -0.3072 0.6085
85233695 DOWN 0.3375 0.4406
85233720 MOVE 0.3279 0.4534
85233737 MOVE 0.3233 0.4628
85233753 MOVE 0.3186 0.4689
85233770 MOVE 0.3187 0.4734
85233803 DOWN 0.3187 0.4734
85234084 DOWN -0.4156 -0.3063
85234120 MOVE -0.4058 -0.2997
85234135 MOVE -0.3906 -0.2937
85234136 DOWN -0.3906 -0.2937
85234405 DOWN 0.3094 -0.3781
85234470 MOVE 0.3073 -0.3539
85234480 MOVE 0.3063 -0.3469
85234480 DOWN 0.3063 -0.3469
85234782 DOWN -0.2281 0.5656
85234853 MOVE -0.2171 0.5656
85234868 MOVE -0.2156 0.5656
85234868 DOWN -0.2156 0.5656
85235341 SYNCTIME f53
85235471 DOWN -0.4125 -0.2875
85235521 MOVE -0.4091 -0.2875
85235533 MOVE -0.4031 -0.2875
85235533 DOWN -0.4031 -0.2875
85235935 DOWN 0.4156 -0.3656
85236021 MOVE 0.4125 -0.3500
85236021 DOWN 0.4125 -0.3500
85236579 DOWN -0.1469 0.3844
85236687 MOVE -0.1402 0.3844
85236708 DOWN -0.1402 0.3844
85237200 DOWN 0.3375 0.4812
85237237 MOVE 0.3306 0.4851
85237254 MOVE 0.3258 0.4844
85237270 MOVE 0.3234 0.4844
85237287 MOVE 0.3202 0.4764
85237296 MOVE 0.3187 0.4750
85237296 DOWN 0.3187 0.4750
85237540 DOWN -0.3406 -0.2250
85237587 MOVE -0.3509 -0.1941
85237595 MOVE -0.3562 -0.1875
85237595 DOWN -0.3562 -0.1875
85238342 SELECT 0
85238404 MOVE -0.5824 -0.3844
85238417 MOVE -0.5781 -0.3844
85238417 DOWN -0.5781 -0.3844
85239256 BEGIN 81
85240005 DOWN -0.4844 -0.4656
85240054 MOVE -0.4804 -0.4348
85240068 MOVE -0.4688 -0.4094
85240069 DOWN -0.4688 -0.4094
85240271 DOWN -0.4656 0.5844
85240388 MOVE -0.4500 0.5844
85240401 MOVE -0.4406 0.5875
85240401 DOWN -0.4406 0.5875
85240604 DOWN 0.4094 0.3875
85240621 MOVE 0.3964 0.3875
85240638 MOVE 0.3910 0.3875
85240654 MOVE 0.3863 0.3918
85240671 MOVE 0.3828 0.3906
85240688 MOVE 0.3881 0.3869
85240701 MOVE 0.3875 0.3781
85240701 DOWN 0.3875 0.3781
85240881 DOWN 0.3562 -0.4875
85240905 MOVE 0.3534 -0.4815
85240921 MOVE 0.3486 -0.4723
85240933 MOVE 0.3438 -0.4688
85240934 DOWN 0.3438 -0.4688
85241159 DOWN -0.4625 -0.4688
85241177 MOVE -0.4563 -0.4594
85241178 DOWN -0.4563 -0.4594
85241491 DOWN -0.3844 0.5312
85241571 MOVE -0.3747 0.5312
85241588 MOVE -0.3652 0.5281
85241598 MOVE -0.3625 0.5281
85241599 DOWN -0.3625 0.5281
85241835 DOWN 0.3500 0.4281
85241921 MOVE 0.3534 0.4281
85241938 MOVE 0.3498 0.4281
85241942 DOWN 0.3498 0.4281
85242157 DOWN 0.2688 -0.3406
85242231 MOVE 0.2656 -0.3375
85242232 DOWN 0.2656 -0.3375
85242512 DOWN -0.4875 -0.1406
85242555 MOVE -0.4821 -0.1406
85242571 MOVE -0.4736 -0.1368
85242586 MOVE -0.4719 -0.1344
85242586 DOWN -0.4719 -0.1344
85242853 DOWN -0.3594 0.5750
85242972 MOVE -0.3480 0.5822
85242985 MOVE -0.3406 0.5844
85242985 DOWN -0.3406 0.5844
85243232 DOWN 0.5281 0.5469
85243322 MOVE 0.5253 0.5325
85243329 MOVE 0.5250 0.5312
85243329 DOWN 0.5250 0.5312
85243520 DOWN 0.3875 -0.3344
85243538 MOVE 0.3830 -0.3344
85243555 MOVE 0.3783 -0.3344
85243572 MOVE 0.3766 -0.3344
85243605 MOVE 0.3706 -0.3299
85243607 DOWN 0.3706 -0.3299
85243663 SYNCTIME f81
85243854 DOWN -0.4469 -0.2937
85243905 MOVE -0.4422 -0.2813
85243916 MOVE -0.4406 -0.2719
85243917 DOWN -0.4406 -0.2719
85244297 DOWN -0.3063 0.5781
85244372 MOVE -0.2994 0.5781
85244388 MOVE -0.2800 0.5781
85244394 DOWN -0.2800 0.5781
85244785 DOWN 0.3250 0.0031
85244806 MOVE 0.3198 0.0031
85244822 MOVE 0.3172 0.0031
85244839 MOVE 0.3146 0.0073
85244855 MOVE 0.3156 0.0097
85244872 MOVE 0.3178 0.0147
85244889 MOVE 0.3203 0.0172
85244892 DOWN 0.3203 0.0172
85245250 DOWN 0.2375 -0.4875
85245273 MOVE 0.2328 -0.4875
85245289 MOVE 0.2344 -0.4840
85245303 MOVE 0.2375 -0.4812
85245304 DOWN 0.2375 -0.4812
85245529 DOWN -0.4563 -0.2500
85245589 MOVE -0.4367 -0.2418
85245592 DOWN -0.4367 -0.2418
85246326 DOWN -0.3844 0.6000
85246356 MOVE -0.3921 0.5961
85246406 MOVE -0.3814 0.5969
85246412 MOVE -0.3812 0.5969
85246413 DOWN -0.3812 0.5969
85246881 DOWN 0.1031 -0.3375
85246922 MOVE 0.0994 -0.3338
85246939 MOVE 0.1032 -0.3279
85246956 MOVE 0.1063 -0.3281
85246956 DOWN 0.1063 -0.3281
85247044 SELECT 1
85247104 MOVE 0.1531 -0.3389
85247111 MOVE 0.1531 -0.3341
85247124 MOVE 0.1513 -0.3157
85247140 MOVE 0.1465 -0.2815
85247144 DOWN 0.1465 -0.2815
85247728 BEGIN 58
85248189 DOWN -0.4281 0.6969
85248306 MOVE -0.4250 0.6446
85248309 DOWN -0.4250 0.6446
85248533 DOWN -0.4719 -0.3625
85248589 MOVE -0.4664 -0.3539
85248606 MOVE -0.4484 -0.3445
85248618 MOVE -0.4375 -0.3406
85248619 DOWN -0.4375 -0.3406
85248855 DOWN 0.3719 -0.3906
85248873 MOVE 0.3674 -0.3906
85248906 MOVE 0.3652 -0.3906
85248939 MOVE 0.3656 -0.3870
85248956 MOVE 0.3536 -0.3696
85248962 MOVE 0.3531 -0.3688
85248963 DOWN 0.3531 -0.3688
85249165 DOWN 0.2656 0.6406
85249273 MOVE 0.2656 0.6373
85249274 DOWN 0.2656 0.6373
85249498 DOWN -0.3812 0.7563
85249523 MOVE -0.3859 0.7563
85249589 MOVE -0.3779 0.7563
85249605 MOVE -0.3750 0.7563
85249606 DOWN -0.3750 0.7563
85249864 DOWN -0.4500 -0.4250
85249923 MOVE -0.4363 -0.4250
85249939 MOVE -0.4219 -0.4250
85249939 DOWN -0.4219 -0.4250
85250119 DOWN 0.1719 -0.5156
85250223 MOVE 0.1719 -0.5124
85250227 DOWN 0.1719 -0.5124
85250485 DOWN 0.2562 0.5688
85250590 MOVE 0.2498 0.5655
85250606 MOVE 0.2397 0.5370
85250614 MOVE 0.2375 0.5312
85250615 DOWN 0.2375 0.5312
85250829 DOWN -0.4281 0.6812
85250857 MOVE -0.4353 0.6853
85250873 MOVE -0.4391 0.6844
85250956 MOVE -0.4375 0.6811
85250969 MOVE -0.4406 0.6625
85250970 DOWN -0.4406 0.6625
85251195 DOWN -0.3812 -0.3250
85251223 MOVE -0.3859 -0.3250
85251256 MOVE -0.3769 -0.3250
85251269 MOVE -0.3625 -0.3156
85251270 DOWN -0.3625 -0.3156
85251639 DOWN 0.2688 -0.5094
85251723 MOVE 0.2688 -0.5060
85251735 MOVE 0.2656 -0.5000
85251736 DOWN 0.2656 -0.5000
85252011 SYNCTIME f58
85252060 DOWN -0.4000 0.5188
85252157 MOVE -0.3868 0.5188
85252173 MOVE -0.3648 0.5122
85252189 MOVE -0.3438 0.5031
85252190 DOWN -0.3438 0.5031
85252470 DOWN 0.4000 0.5750
85252507 MOVE 0.3967 0.5750
85252523 MOVE 0.3949 0.5859
85252540 MOVE 0.3938 0.5941
85252557 MOVE 0.3957 0.6008
85252573 MOVE 0.4004 0.6066
85252590 MOVE 0.4011 0.6074
85252600 MOVE 0.4000 0.6062
85252601 DOWN 0.4000 0.6062
85252926 DOWN -0.3625 -0.1437
85252990 MOVE -0.3550 -0.1459
85253007 MOVE -0.3424 -0.1540
85253010 DOWN -0.3424 -0.1540
85254156 DOWN -0.3812 0.6250
85254174 MOVE -0.3856 0.6206
85254224 MOVE -0.3754 0.6189
85254231 MOVE -0.3750 0.6187
85254231 DOWN -0.3750 0.6187
85254966 DOWN 0.2094 -0.3344
85254991 MOVE 0.2094 -0.3311
85255007 MOVE 0.2062 -0.3263
85255024 MOVE 0.2062 -0.3182
85255029 DOWN 0.2062 -0.3182
85255597 SELECT 1
85255656 MOVE 0.1666 -0.3572
85255664 MOVE 0.1656 -0.3525
85255674 MOVE 0.1700 -0.3434
85255683 MOVE 0.1719 -0.3406
85255684 DOWN 0.1719 -0.3406
85256299 BEGIN 66
85256706 DOWN -0.4187 0.6750
85256724 MOVE -0.4231 0.6750
85256757 MOVE -0.4219 0.6676
85256807 MOVE -0.4131 0.6428
85256824 MOVE -0.4081 0.6145
85256825 DOWN -0.4081 0.6145
85257106 DOWN -0.4344 -0.2969
85257148 MOVE -0.4313 -0.2969
85257148 DOWN -0.4313 -0.2969
85257404 DOWN 0.4094 -0.3500
85257441 MOVE 0.4051 -0.3543
85257491 MOVE 0.4062 -0.3462
85257502 MOVE 0.4031 -0.3344
85257502 DOWN 0.4031 -0.3344
85257716 DOWN 0.4281 0.6656
85257758 MOVE 0.4232 0.6687
85257774 MOVE 0.4184 0.6722
85257791 MOVE 0.4141 0.6719
85257808 MOVE 0.4123 0.6719
85257813 DOWN 0.4123 0.6719
85258004 DOWN -0.3219 0.6625
85258041 MOVE -0.3262 0.6625
85258058 MOVE -0.3291 0.6625
85258108 MOVE -0.3246 0.6272
85258124 MOVE -0.3250 0.6000
