78279206 SESSION_BEGIN 22
78279398 BEGIN 59
78289630 DOWN 0.3031 0.5312
78289689 MOVE 0.2844 0.5469
78289690 DOWN 0.2844 0.5469
78289941 DOWN 0.3031 -0.5469
78289994 MOVE 0.2977 -0.5469
78290010 MOVE 0.2772 -0.5469
78290013 DOWN 0.2772 -0.5469
78290310 DOWN -0.3625 -0.6750
78290377 MOVE -0.3657 -0.6718
78290382 DOWN -0.3657 -0.6718
78298215 DOWN 0.5906 0.4500
78298245 MOVE 0.5906 0.4547
78298256 MOVE 0.5875 0.4563
78298257 DOWN 0.5875 0.4563
78298717 DOWN 0.2031 -0.3031
78298779 MOVE 0.2013 -0.3119
78298788 MOVE 0.2000 -0.3156
78298789 DOWN 0.2000 -0.3156
78299607 DOWN -0.5000 -0.4156
78299625 DOWN -0.5000 -0.4156
78301811 DOWN 0.3969 0.6156
78301863 MOVE 0.4005 0.6120
78301872 DOWN 0.4005 0.6120
78302245 DOWN 0.5125 -0.2906
78302306 DOWN 0.5125 -0.2906
78302711 DOWN -0.2562 0.3781
78302741 DOWN -0.2562 0.3781
78303406 DOWN -0.4094 -0.4750
78303458 DOWN -0.4094 -0.4750
78303862 DOWN 0.3250 0.4000
78303914 DOWN 0.3250 0.4000
78304351 DOWN 0.4469 -0.4781
78304413 MOVE 0.4435 -0.4781
78304414 DOWN 0.4435 -0.4781
78304751 DOWN -0.3594 -0.3906
78304780 MOVE -0.3521 -0.3797
78304782 DOWN -0.3521 -0.3797
78305176 DOWN -0.2656 0.3187
78305205 MOVE -0.2656 0.3219
78305206 DOWN -0.2656 0.3219
78305599 DOWN 0.5156 0.2906
78305627 DOWN 0.5156 0.2906
78306294 SYNCTIME f59
78306298 DOWN -0.3750 -0.4844
78306301 DOWN -0.3750 -0.4844
78306652 SELECT 0
78306715 MOVE -0.5000 -0.4000
78306716 DOWN -0.5000 -0.4000
78307780 BEGIN 77
78308340 DOWN -0.3906 0.4031
78308347 DOWN -0.3906 0.4031
78308707 DOWN 0.3812 -0.4375
78308731 MOVE 0.3781 -0.4281
78308747 MOVE 0.3781 -0.4234
78308758 MOVE 0.3812 -0.4219
78308759 DOWN 0.3812 -0.4219
78308978 DOWN 0.4469 0.5656
78308998 MOVE 0.4417 0.5781
78309014 MOVE 0.4369 0.5850
78309030 MOVE 0.4328 0.5938
78309040 DOWN 0.4328 0.5938
78309325 DOWN -0.5063 -0.3438
78309342 DOWN -0.5063 -0.3438
78309671 DOWN -0.3063 0.4250
78309714 MOVE -0.3063 0.4192
78309721 MOVE -0.3063 0.4187
78309722 DOWN -0.3063 0.4187
78310017 DOWN 0.5437 -0.4938
