85138252 SESSION_BEGIN 23
85138318 BEGIN 81
85139497 DOWN -0.3313 -0.4750
85139537 MOVE -0.3344 -0.4703
85139546 DOWN -0.3344 -0.4703
85139881 DOWN -0.4719 0.5625
85139920 MOVE -0.4719 0.5516
85139931 DOWN -0.4719 0.5516
85140256 DOWN 0.4875 -0.4531
85140304 MOVE 0.4909 -0.4463
85140316 MOVE 0.4938 -0.4437
85140316 DOWN 0.4938 -0.4437
85140544 DOWN 0.4750 0.4844
85140593 MOVE 0.4688 0.5031
85140594 DOWN 0.4688 0.5031
85140972 DOWN -0.4875 0.5281
85140987 MOVE -0.4875 0.5237
85141086 MOVE -0.4875 0.5250
85141086 DOWN -0.4875 0.5250
85141335 DOWN -0.2688 -0.3500
85141370 MOVE -0.2820 -0.3399
85141387 MOVE -0.2899 -0.3319
85141404 MOVE -0.2906 -0.3271
85141416 MOVE -0.2906 -0.3219
85141417 DOWN -0.2906 -0.3219
85141729 DOWN 0.5969 -0.4594
85141754 MOVE 0.5902 -0.4594
85141780 DOWN 0.5902 -0.4594
85142070 DOWN 0.6031 0.4656
85142087 MOVE 0.5987 0.4612
85142104 MOVE 0.5854 0.4682
85142121 MOVE 0.5620 0.4777
85142122 DOWN 0.5620 0.4777
85142543 DOWN -0.4281 0.6000
85142582 MOVE -0.4250 0.6000
85142583 DOWN -0.4250 0.6000
85142971 DOWN -0.1688 -0.3500
85142987 MOVE -0.1828 -0.3359
85143004 MOVE -0.1908 -0.3249
85143010 DOWN -0.1908 -0.3249
85143377 DOWN 0.7094 -0.4969
85143404 MOVE 0.7055 -0.4969
85143437 MOVE 0.7000 -0.4906
85143438 DOWN 0.7000 -0.4906
85143476 SYNCTIME f81
85143816 DOWN -0.3906 0.5469
85143855 DOWN -0.3906 0.5469
85144309 DOWN 0.4344 0.5875
85144348 DOWN 0.4344 0.5875
85144812 DOWN 0.7219 -0.5031
85144838 MOVE 0.7145 -0.5063
85144854 MOVE 0.7069 -0.5035
85144861 MOVE 0.7063 -0.5031
85144862 DOWN 0.7063 -0.5031
85145197 DOWN -0.2750 -0.3938
85145254 MOVE -0.2717 -0.3904
85145257 DOWN -0.2717 -0.3904
85145624 DOWN -0.3719 0.4812
85145638 MOVE -0.3756 0.4776
85145655 MOVE -0.3781 0.4696
85145671 MOVE -0.3781 0.4728
85145685 MOVE -0.3781 0.4750
85145686 DOWN -0.3781 0.4750
85146192 DOWN 0.5719 0.5437
85146238 MOVE 0.5751 0.5437
85146253 MOVE 0.5781 0.5406
85146253 DOWN 0.5781 0.5406
85146545 DOWN 0.5656 -0.5469
85146571 MOVE 0.5582 -0.5512
85146588 MOVE 0.5547 -0.5547
85146595 DOWN 0.5547 -0.5547
85146778 SELECT 1
85146825 DOWN 0.5344 -0.5250
85148087 BEGIN 82
85149768 DOWN -0.4594 -0.5500
85149806 MOVE -0.4057 -0.5437
85149822 MOVE -0.3685 -0.5468
85149838 MOVE -0.3531 -0.5437
85149839 DOWN -0.3531 -0.5437
85150152 DOWN -0.3625 0.5094
85150189 MOVE -0.3769 0.4950
85150205 MOVE -0.3839 0.4880
85150222 MOVE -0.3844 0.4831
85150239 MOVE -0.3875 0.4874
85150256 MOVE -0.3844 0.5094
85150257 DOWN -0.3844 0.5094
85150645 DOWN 0.4781 -0.4031
85150689 MOVE 0.4750 -0.3968
85150705 MOVE 0.4844 -0.3844
85150705 DOWN 0.4844 -0.3844
85151115 DOWN 0.6438 0.6156
85151139 MOVE 0.6271 0.6489
85151156 MOVE 0.6156 0.6719
85151172 MOVE 0.5864 0.7154
85151176 DOWN 0.5864 0.7154
85151597 DOWN -0.3750 0.7844
85151622 MOVE -0.3750 0.7797
85151647 MOVE -0.3719 0.7812
85151647 DOWN -0.3719 0.7812
85151992 DOWN -0.3281 -0.2719
85152022 MOVE -0.3260 -0.2771
85152032 MOVE -0.3250 -0.2781
85152032 DOWN -0.3250 -0.2781
85152485 DOWN 0.5719 -0.4594
85152524 MOVE 0.5719 -0.4469
85152525 DOWN 0.5719 -0.4469
85152956 DOWN 0.5094 0.6625
85153006 MOVE 0.5094 0.6726
85153023 MOVE 0.5061 0.6881
85153027 DOWN 0.5061 0.6881
85153459 DOWN -0.3844 0.6656
85153488 MOVE -0.3875 0.6531
85153488 DOWN -0.3875 0.6531
85153942 DOWN -0.2875 -0.3688
85153990 MOVE -0.2862 -0.3750
85153992 DOWN -0.2862 -0.3750
85154102 SYNCTIME f82
85154390 DOWN 0.6500 -0.5312
85154429 DOWN 0.6500 -0.5312
85154829 DOWN 0.4031 0.5844
85154873 MOVE 0.4000 0.5938
85154890 MOVE 0.3902 0.6067
85154900 MOVE 0.3875 0.6094
85154901 DOWN 0.3875 0.6094
85155299 DOWN -0.5063 0.6969
85155323 MOVE -0.4900 0.6936
85155328 DOWN -0.4900 0.6936
85155792 DOWN -0.3688 -0.2969
85155823 MOVE -0.3744 -0.2919
85155840 MOVE -0.3792 -0.2865
85155842 DOWN -0.3792 -0.2865
85156284 DOWN 0.4812 -0.4969
85156313 MOVE 0.4906 -0.5031
85156313 DOWN 0.4906 -0.5031
85156819 SELECT 1
85156869 DOWN 0.5063 -0.5406
85158022 BEGIN 92
85158890 DOWN -0.2719 -0.3250
85158939 DOWN -0.2719 -0.3250
85159318 DOWN 0.6313 -0.5344
85159357 MOVE 0.6313 -0.5294
85159367 MOVE 0.6313 -0.5281
85159367 DOWN 0.6313 -0.5281
85159799 DOWN -0.3875 0.5656
85159817 DOWN -0.3875 0.5656
85160225 DOWN 0.4375 0.6406
85160257 MOVE 0.4344 0.6461
85160274 MOVE 0.4344 0.6550
85160277 DOWN 0.4344 0.6550
85160687 DOWN -0.4406 -0.2562
85160748 MOVE -0.4313 -0.2625
85160749 DOWN -0.4313 -0.2625
85161104 DOWN 0.3969 -0.2812
85161141 MOVE 0.3969 -0.2778
85161164 MOVE 0.3969 -0.2688
85161165 DOWN 0.3969 -0.2688
85161511 DOWN -0.4094 0.4844
85161558 MOVE -0.3959 0.4878
85161560 DOWN -0.3959 0.4878
85161916 DOWN 0.2719 0.5781
85161974 MOVE 0.2790 0.5821
85161988 MOVE 0.2875 0.5875
85161989 DOWN 0.2875 0.5875
85162377 DOWN -0.3781 -0.2719
85162424 MOVE -0.3739 -0.2604
85162437 DOWN -0.3739 -0.2604
85162751 DOWN 0.5125 -0.3313
85162822 DOWN 0.5125 -0.3313
85163201 SYNCTIME f92
85163202 DOWN -0.4500 0.5625
85163250 MOVE -0.4500 0.5656
85163250 DOWN -0.4500 0.5656
85163607 DOWN 0.3250 0.6875
85163658 MOVE 0.3324 0.6912
85163667 DOWN 0.3324 0.6912
85164056 DOWN -0.3781 -0.2719
85164106 DOWN -0.3781 -0.2719
85164440 DOWN 0.4531 -0.3875
85164491 MOVE 0.4531 -0.3752
85164501 MOVE 0.4531 -0.3719
85164502 DOWN 0.4531 -0.3719
85164868 DOWN -0.3688 0.5875
85164925 MOVE -0.3652 0.6014
85164929 DOWN -0.3652 0.6014
85165544 DOWN 0.4969 0.4219
85165575 MOVE 0.4825 0.4413
85165583 MOVE 0.4812 0.4437
85165584 DOWN 0.4812 0.4437
85165928 SELECT 3
85165950 MOVE 0.5281 0.4371
85165989 MOVE 0.5281 0.4344
85165990 DOWN 0.5281 0.4344
85166082 BEGIN 91
85167569 DOWN -0.3000 0.3875
85167609 MOVE -0.2964 0.3839
85167620 MOVE -0.2781 0.3781
85167621 DOWN -0.2781 0.3781
85167847 DOWN 0.6094 0.3969
85167925 MOVE 0.6094 0.3937
85167930 DOWN 0.6094 0.3937
