5479520 SESSION_BEGIN 12
5479618 BEGIN 68
5482686 DOWN 0.3812 -0.5188
5482728 MOVE 0.3726 -0.5188
5482737 MOVE 0.3719 -0.5188
5482738 DOWN 0.3719 -0.5188
5483274 DOWN -0.4531 -0.6313
5483303 MOVE -0.4563 -0.6281
5483303 DOWN -0.4563 -0.6281
5483753 DOWN 0.6000 0.5375
5483778 MOVE 0.5953 0.5375
5483793 MOVE 0.5938 0.5375
5483794 DOWN 0.5938 0.5375
5484265 DOWN -0.5781 0.5000
5484296 DOWN -0.5781 0.5000
5484722 DOWN 0.5906 -0.5063
5484731 DOWN 0.5906 -0.5063
5485289 DOWN -0.6281 -0.6594
5485328 MOVE -0.6250 -0.6594
5485329 DOWN -0.6250 -0.6594
5487237 SYNCTIME f68
5494918 DOWN 0.6750 -0.3469
5494948 MOVE 0.6336 -0.3377
5494949 DOWN 0.6336 -0.3377
5495408 DOWN -0.5188 -0.4656
5495428 DOWN -0.5188 -0.4656
5495855 DOWN 0.5469 0.4031
5495885 DOWN 0.5469 0.4031
5496345 DOWN 0.5156 -0.6313
5496364 DOWN 0.5156 -0.6313
5496869 DOWN -0.4656 0.4781
5496887 DOWN -0.4656 0.4781
5503538 DOWN 0.5562 0.2688
5503577 MOVE 0.5469 0.2625
5503577 DOWN 0.5469 0.2625
5503799 DOWN 0.4094 -0.7031
5503815 MOVE 0.4094 -0.6987
5503832 MOVE 0.4033 -0.7000
5503839 MOVE 0.4031 -0.7000
5503839 DOWN 0.4031 -0.7000
5504114 DOWN -0.5656 -0.7000
5504149 MOVE -0.5625 -0.6876
5504155 MOVE -0.5625 -0.6875
5504155 DOWN -0.5625 -0.6875
5504408 DOWN -0.3250 0.4844
5504417 DOWN -0.3250 0.4844
5504713 DOWN 0.6125 0.4750
5504722 DOWN 0.6125 0.4750
5505717 DOWN 0.3594 -0.7875
5505757 MOVE 0.3625 -0.7937
5505758 DOWN 0.3625 -0.7937
5505988 DOWN -0.3219 0.1531
5506016 MOVE -0.3292 0.1531
5506029 MOVE -0.3344 0.1531
5506030 DOWN -0.3344 0.1531
5506315 DOWN -0.2875 -0.6500
5506345 DOWN -0.2875 -0.6500
5506686 DOWN 0.4531 0.3187
5506716 DOWN 0.4531 0.3187
5506970 DOWN 0.7156 -0.6812
5506999 MOVE 0.7009 -0.6715
5507016 MOVE 0.6829 -0.6548
5507020 DOWN 0.6829 -0.6548
5507405 DOWN -0.3187 0.3406
5507424 DOWN -0.3187 0.3406
5508964 DOWN 0.3125 0.4938
5508982 MOVE 0.3156 0.4906
5508983 DOWN 0.3156 0.4906
5509225 DOWN 0.5469 -0.6031
5509244 DOWN 0.5469 -0.6031
5509553 DOWN -0.5844 -0.5406
5509582 MOVE -0.5875 -0.5344
5509583 DOWN -0.5875 -0.5344
5509803 DOWN -0.3531 0.4969
5509832 DOWN -0.3531 0.4969
5510130 DOWN 0.6906 0.2969
5510167 MOVE 0.6944 0.2899
5510170 DOWN 0.6944 0.2899
5510468 DOWN 0.6313 -0.6031
5510517 MOVE 0.6245 -0.6031
5510518 DOWN 0.6245 -0.6031
5510926 DOWN -0.4625 -0.5188
