34997263 SESSION_BEGIN 2
34997331 BEGIN 65
34998798 DOWN 0.6187 0.6938
34998836 MOVE 0.6151 0.6906
34998870 MOVE 0.6114 0.6864
34998886 MOVE 0.6125 0.6832
34998936 MOVE 0.6125 0.6771
34998953 MOVE 0.6125 0.6723
34998969 MOVE 0.6125 0.6703
34999053 MOVE 0.6094 0.6687
34999086 MOVE 0.6062 0.6655
34999153 MOVE 0.6062 0.6620
34999179 DOWN 0.6062 0.6620
35000029 DOWN 0.4313 -0.1281
35000070 MOVE 0.4313 -0.1318
35000087 MOVE 0.4281 -0.1344
35000103 MOVE 0.4281 -0.1391
35000120 MOVE 0.4281 -0.1408
35000153 MOVE 0.4314 -0.1406
35000161 DOWN 0.4314 -0.1406
35001193 DOWN -0.3375 -0.2281
35001270 MOVE -0.3410 -0.2352
35001332 MOVE -0.3406 -0.2375
35001333 DOWN -0.3406 -0.2375
35002413 DOWN -0.3562 0.7344
35002487 MOVE -0.3562 0.7309
35002529 DOWN -0.3562 0.7309
35003829 DOWN 0.5656 0.7500
35003890 DOWN 0.5656 0.7500
35005178 DOWN 0.5469 -0.3750
35005218 DOWN 0.5469 -0.3750
35006429 DOWN -0.2875 -0.3500
35006512 MOVE -0.2844 -0.3500
35006513 DOWN -0.2844 -0.3500
35007528 DOWN -0.4500 0.7219
35007632 DOWN -0.4500 0.7219
35008474 DOWN 0.6219 0.7156
35008521 MOVE 0.6152 0.7123
35008569 DOWN 0.6152 0.7123
35009562 DOWN 0.6375 -0.3531
35009621 MOVE 0.6338 -0.3531
35009645 DOWN 0.6338 -0.3531
35010462 DOWN -0.4125 -0.4313
35010548 DOWN -0.4125 -0.4313
35011388 DOWN -0.4469 0.6375
35011405 MOVE -0.4515 0.6375
35011422 MOVE -0.4561 0.6375
35011439 MOVE -0.4578 0.6375
35011472 DOWN -0.4578 0.6375
35012269 DOWN 0.6625 0.6094
35012289 MOVE 0.6574 0.6094
35012305 MOVE 0.6526 0.6094
35012353 MOVE 0.6531 0.6031
35012354 DOWN 0.6531 0.6031
35013587 DOWN 0.5719 -0.3125
35013656 MOVE 0.5751 -0.3125
35013658 DOWN 0.5751 -0.3125
35013907 SYNCTIME f65
35016832 DOWN -0.5000 0.6594
35016906 MOVE -0.5035 0.6594
35016970 MOVE -0.5094 0.6594
35016972 DOWN -0.5094 0.6594
35021942 DOWN 0.5344 0.5281
35021990 MOVE 0.5310 0.5281
35022008 MOVE 0.5266 0.5281
35022024 MOVE 0.5243 0.5281
35022041 MOVE 0.5250 0.5328
35022058 MOVE 0.5250 0.5344
35022059 DOWN 0.5250 0.5344
35022998 DOWN 0.5094 -0.3844
35023102 DOWN 0.5094 -0.3844
35023769 DOWN -0.4469 -0.4094
35023841 MOVE -0.4469 -0.4172
35023857 MOVE -0.4533 -0.4220
35023875 MOVE -0.4581 -0.4268
35023891 MOVE -0.4629 -0.4281
35023917 MOVE -0.4656 -0.4313
35023918 DOWN -0.4656 -0.4313
35024410 DOWN -0.6125 0.5375
35024558 MOVE -0.6125 0.5485
35024569 MOVE -0.6125 0.5500
35024569 DOWN -0.6125 0.5500
35025083 DOWN 0.4156 0.4906
35025191 MOVE 0.4190 0.4974
35025208 MOVE 0.4187 0.4860
35025221 MOVE 0.4187 0.4750
35025221 DOWN 0.4187 0.4750
35025758 DOWN 0.4125 -0.2625
35025825 MOVE 0.4125 -0.2558
35025829 DOWN 0.4125 -0.2558
35026397 DOWN -0.4313 -0.3656
35026425 MOVE -0.4313 -0.3618
35026458 MOVE -0.4313 -0.3589
35026469 DOWN -0.4313 -0.3589
35027039 DOWN 0.3406 0.5031
35027122 MOVE 0.3375 0.4969
35027122 DOWN 0.3375 0.4969
35027679 DOWN -0.5125 0.6594
35027762 DOWN -0.5125 0.6594
35028320 DOWN 0.4406 -0.3594
35028403 MOVE 0.4437 -0.3625
35028403 DOWN 0.4437 -0.3625
35029005 DOWN -0.4563 -0.2937
35029088 DOWN -0.4563 -0.2937
35029687 DOWN 0.6031 0.8313
35029725 MOVE 0.5964 0.8313
35029742 MOVE 0.5913 0.8313
35029759 MOVE 0.5891 0.8313
35029809 MOVE 0.5875 0.8286
35029815 MOVE 0.5875 0.8281
35029816 DOWN 0.5875 0.8281
35030329 DOWN -0.4906 0.7531
35030409 MOVE -0.4941 0.7531
35030424 MOVE -0.4969 0.7469
35030425 DOWN -0.4969 0.7469
35030957 DOWN 0.3688 -0.3313
35031042 MOVE 0.3688 -0.3277
35031054 MOVE 0.3688 -0.3250
35031055 DOWN 0.3688 -0.3250
35032756 DOWN -0.4563 -0.3656
35032826 MOVE -0.4529 -0.3590
35032839 MOVE -0.4469 -0.3531
35032840 DOWN -0.4469 -0.3531
35033680 DOWN 0.4656 0.7219
35033759 MOVE 0.4688 0.7283
35033774 DOWN 0.4688 0.7283
35034474 DOWN -0.5688 0.7563
35034526 MOVE -0.5688 0.7617
35034543 MOVE -0.5570 0.7664
35034546 DOWN -0.5570 0.7664
35035146 DOWN 0.3594 -0.3875
35035208 MOVE 0.3562 -0.3844
35035208 DOWN 0.3562 -0.3844
35035971 DOWN -0.4875 -0.4750
35036043 MOVE -0.4875 -0.4635
35036056 MOVE -0.4844 -0.4594
35036057 DOWN -0.4844 -0.4594
35036800 DOWN -0.7625 0.8594
35036872 DOWN -0.7625 0.8594
35037495 DOWN 0.3187 0.8062
35037611 DOWN 0.3187 0.8062
35038309 DOWN 0.5406 -0.4000
35038327 MOVE 0.5360 -0.4000
35038377 MOVE 0.5375 -0.3969
35038394 MOVE 0.5375 -0.3922
35038410 MOVE 0.5375 -0.3905
35038427 MOVE 0.5375 -0.3875
35038427 DOWN 0.5375 -0.3875
35038820 DOWN -0.3344 -0.4156
35038877 MOVE -0.3344 -0.4020
35038892 MOVE -0.3313 -0.3844
35038893 DOWN -0.3313 -0.3844
35039426 DOWN -0.5656 0.8719
35039477 MOVE -0.5656 0.8753
35039479 DOWN -0.5656 0.8753
35039970 DOWN 0.3281 0.8469
35040061 MOVE 0.3250 0.8500
35040087 MOVE 0.3250 0.8469
35040088 DOWN 0.3250 0.8469
35040784 DOWN 0.3719 -0.4812
35040882 DOWN 0.3719 -0.4812
35041428 DOWN -0.4812 -0.3906
35041478 DOWN -0.4812 -0.3906
35042057 DOWN -0.4938 0.6031
35042108 DOWN -0.4938 0.6031
35042742 DOWN 0.3281 0.5906
35042828 MOVE 0.3225 0.5913
35042836 MOVE 0.3219 0.5906
35042837 DOWN 0.3219 0.5906
35043372 DOWN 0.3531 -0.2875
35043462 MOVE 0.3531 -0.2843
35043477 DOWN 0.3531 -0.2843
35044068 DOWN -0.5719 -0.4500
35044151 MOVE -0.5688 -0.4437
35044152 DOWN -0.5688 -0.4437
35044818 DOWN -0.5656 0.6031
35044868 DOWN -0.5656 0.6031
35045458 DOWN -0.5094 -0.3750
35045529 MOVE -0.5094 -0.3717
35045545 MOVE -0.5012 -0.3578
35045552 MOVE -0.5000 -0.3562
35045553 DOWN -0.5000 -0.3562
35046077 DOWN -0.5844 0.5594
35046195 MOVE -0.5975 0.5448
35046212 MOVE -0.6047 0.5328
35046215 DOWN -0.6047 0.5328
35046707 DOWN -0.5531 -0.4031
35046779 MOVE -0.5486 -0.3909
35046790 MOVE -0.5437 -0.3875
35046790 DOWN -0.5437 -0.3875
35047327 DOWN -0.5688 0.6594
35047395 MOVE -0.5724 0.6490
35047399 DOWN -0.5724 0.6490
35047946 DOWN -0.5156 -0.3844
35047996 MOVE -0.5156 -0.3809
35048012 MOVE -0.5060 -0.3621
35048018 DOWN -0.5060 -0.3621
35048554 DOWN 0.4750 -0.5437
35048612 MOVE 0.4978 -0.5398
35048615 DOWN 0.4978 -0.5398
35049162 DOWN 0.4406 0.5094
35049196 MOVE 0.4091 0.5125
35049212 MOVE 0.3770 0.5125
35049213 DOWN 0.3770 0.5125
35049727 DOWN 0.3844 -0.5750
35049779 MOVE 0.3897 -0.5719
35049788 MOVE 0.3906 -0.5719
35049788 DOWN 0.3906 -0.5719
35050400 DOWN -0.3875 -0.4125
35050462 DOWN -0.3875 -0.4125
35051008 DOWN -0.4844 0.5531
35051046 MOVE -0.4844 0.5566
35051059 MOVE -0.4812 0.5625
35051060 DOWN -0.4812 0.5625
35051638 DOWN 0.3219 0.5188
35051710 MOVE 0.3219 0.5281
35051711 DOWN 0.3219 0.5281
35052323 DOWN 0.4250 -0.4156
35052395 DOWN 0.4250 -0.4156
35052909 DOWN -0.4344 -0.3875
35052930 MOVE -0.4344 -0.3828
35052946 MOVE -0.4344 -0.3807
35052960 MOVE -0.4344 -0.3750
35052960 DOWN -0.4344 -0.3750
35053539 DOWN -0.5156 0.5719
35053597 MOVE -0.5124 0.5751
35053614 MOVE -0.5041 0.5781
35053630 MOVE -0.4952 0.5742
35053633 DOWN -0.4952 0.5742
35054060 DOWN 0.3250 0.5594
35054154 DOWN 0.3250 0.5594
35054472 DOWN -0.4500 0.4656
35054547 MOVE -0.4344 0.4664
35054564 MOVE -0.4160 0.4542
35054567 DOWN -0.4160 0.4542
35054894 DOWN 0.2688 0.4812
35054997 MOVE 0.2688 0.4780
35055013 MOVE 0.2688 0.4677
35055021 MOVE 0.2688 0.4656
35055022 DOWN 0.2688 0.4656
35055340 DOWN 0.3875 -0.4000
35055397 MOVE 0.3940 -0.3968
35055413 MOVE 0.3959 -0.3916
35055430 MOVE 0.4006 -0.3906
35055444 DOWN 0.4006 -0.3906
35055861 DOWN -0.4469 -0.4250
35055966 DOWN -0.4469 -0.4250
35056327 DOWN -0.5406 0.6687
35056430 MOVE -0.5406 0.6655
35056447 MOVE -0.5378 0.6596
35056464 MOVE -0.5329 0.6594
35056465 DOWN -0.5329 0.6594
35056891 DOWN 0.4000 0.5000
35056947 MOVE 0.4094 0.4937
35056963 MOVE 0.4125 0.4906
35056964 DOWN 0.4125 0.4906
35057215 DOWN 0.5562 -0.3125
35057355 DOWN 0.5562 -0.3125
35057693 DOWN -0.5094 -0.5281
35057788 DOWN -0.5094 -0.5281
35058192 DOWN 0.5656 -0.5469
35058214 MOVE 0.5656 -0.5526
35058231 MOVE 0.5656 -0.5574
35058247 MOVE 0.5609 -0.5562
35058281 MOVE 0.5565 -0.5562
35058286 MOVE 0.5562 -0.5562
35058287 DOWN 0.5562 -0.5562
35058659 DOWN -0.4812 -0.4281
35058697 MOVE -0.4706 -0.4352
35058699 DOWN -0.4706 -0.4352
35059212 DOWN 0.2844 0.5188
35059281 MOVE 0.2946 0.5254
35059297 MOVE 0.2984 0.5297
35059347 MOVE 0.2898 0.5312
35059350 DOWN 0.2898 0.5312
35059581 DOWN -0.3750 0.4250
35059631 MOVE -0.3462 0.4250
35059642 MOVE -0.3344 0.4156
35059643 DOWN -0.3344 0.4156
35060037 DOWN 0.5063 -0.4187
35060081 MOVE 0.5001 -0.4187
35060087 MOVE 0.5000 -0.4187
35060088 DOWN 0.5000 -0.4187
35060405 DOWN -0.3562 -0.4781
35060448 MOVE -0.3562 -0.4669
35060456 MOVE -0.3562 -0.4656
35060457 DOWN -0.3562 -0.4656
35060861 DOWN 0.5250 -0.5625
35060901 DOWN 0.5250 -0.5625
35061502 DOWN 0.3250 0.5469
35061515 MOVE 0.3217 0.5469
35061520 DOWN 0.3217 0.5469
35061627 SELECT 3
35061727 MOVE 0.3625 0.4125
35061727 DOWN 0.3625 0.4125
35074642 BEGIN 68
35076151 DOWN 0.4531 -0.6187
35076217 MOVE 0.4592 -0.6187
35076234 MOVE 0.4688 -0.6187
35076235 DOWN 0.4688 -0.6187
35077478 DOWN -0.6000 -0.4938
35077518 MOVE -0.5963 -0.4864
35077534 MOVE -0.5969 -0.4843
35077583 MOVE -0.5969 -0.4875
35077583 DOWN -0.5969 -0.4875
35078391 DOWN -0.5750 0.5469
35078496 MOVE -0.5875 0.5281
35078497 DOWN -0.5875 0.5281
35079446 DOWN 0.1625 0.5344
35079568 MOVE 0.1560 0.5278
35079573 DOWN 0.1560 0.5278
